run_number	val_auc	val_f1	num_features	run_time_sec	status	description
11	0.916240	0.633274	65	5.837	discard	iter11_hgb_400 | model=HistGradientBoostingClassifier; class_weight=None, l2_regularization=0.15, learning_rate=0.04, max_depth=6, max_features=1.0, max_iter=400, min_samples_leaf=18, random_state=42
12	0.915865	0.649030	65	4.784	discard	iter12_hgb_500 | model=HistGradientBoostingClassifier; class_weight=None, l2_regularization=0.2, learning_rate=0.035, max_depth=5, max_features=1.0, max_iter=500, min_samples_leaf=18, random_state=42
13	0.891786	0.642177	65	0.091	discard	iter13_logreg_c08 | model=LogisticRegression; C=0.8, class_weight=balanced, max_iter=3000, penalty=deprecated, random_state=42, solver=lbfgs
14	0.917528	0.659236	65	3.828	keep	iter14_rf_entropy_700 | model=RandomForestClassifier; ccp_alpha=0.0, class_weight=balanced_subsample, criterion=entropy, max_depth=None, max_features=sqrt, min_samples_leaf=2, min_samples_split=2, n_estimators=700, random_state=42
15	0.916584	0.683358	65	3.686	discard	iter15_rf_entropy_leaf3 | model=RandomForestClassifier; ccp_alpha=0.0, class_weight=balanced_subsample, criterion=entropy, max_depth=None, max_features=sqrt, min_samples_leaf=3, min_samples_split=2, n_estimators=500, random_state=42
16	0.916761	0.692308	65	3.199	discard	iter16_rf_gini_leaf4 | model=RandomForestClassifier; ccp_alpha=0.0, class_weight=balanced_subsample, criterion=gini, max_depth=None, max_features=sqrt, min_samples_leaf=4, min_samples_split=2, n_estimators=600, random_state=42
17	0.918170	0.643952	65	6.796	keep	iter17_rf_entropy_half_features | model=RandomForestClassifier; ccp_alpha=0.0, class_weight=balanced_subsample, criterion=entropy, max_depth=None, max_features=0.5, min_samples_leaf=2, min_samples_split=2, n_estimators=600, random_state=42
18	0.910689	0.670623	63	2.368	discard	iter18_rf_entropy_no_bounce_exit | model=RandomForestClassifier; ccp_alpha=0.0, class_weight=balanced_subsample, criterion=entropy, max_depth=None, max_features=sqrt, min_samples_leaf=2, min_samples_split=2, n_estimators=500, random_state=42
19	0.915863	0.670732	65	2.748	discard	iter19_rf_entropy_add_depth18 | model=RandomForestClassifier; ccp_alpha=0.0, class_weight=balanced_subsample, criterion=entropy, max_depth=18, max_features=sqrt, min_samples_leaf=2, min_samples_split=2, n_estimators=500, random_state=42
20	0.913286	0.606061	63	5.307	discard	iter20_hgb_featdrop2 | model=HistGradientBoostingClassifier; class_weight=None, l2_regularization=0.15, learning_rate=0.04, max_depth=6, max_features=1.0, max_iter=450, min_samples_leaf=18, random_state=42
21	0.914544	0.646104	64	2.686	discard	iter21_rf_entropy_no_specialday | model=RandomForestClassifier; ccp_alpha=0.0, class_weight=balanced_subsample, criterion=entropy, max_depth=None, max_features=sqrt, min_samples_leaf=2, min_samples_split=2, n_estimators=500, random_state=42
22	0.916490	0.660348	65	2.839	discard	iter22_rf_entropy_leaf2_depth24 | model=RandomForestClassifier; ccp_alpha=0.0, class_weight=balanced_subsample, criterion=entropy, max_depth=24, max_features=sqrt, min_samples_leaf=2, min_samples_split=2, n_estimators=500, random_state=42
23	0.917219	0.653846	65	2.790	discard	iter23_rf_entropy_ccp | model=RandomForestClassifier; ccp_alpha=1e-05, class_weight=balanced_subsample, criterion=entropy, max_depth=None, max_features=sqrt, min_samples_leaf=2, min_samples_split=2, n_estimators=500, random_state=42
24	0.916839	0.652027	65	4.290	discard	iter24_rf_entropy_700_depth22 | model=RandomForestClassifier; ccp_alpha=0.0, class_weight=balanced_subsample, criterion=entropy, max_depth=22, max_features=0.5, min_samples_leaf=2, min_samples_split=2, n_estimators=700, random_state=42
25	0.916388	0.648464	64	7.508	discard	iter25_rf_entropy_feat9 | model=RandomForestClassifier; ccp_alpha=0.0, class_weight=balanced_subsample, criterion=entropy, max_depth=None, max_features=0.5, min_samples_leaf=2, min_samples_split=2, n_estimators=700, random_state=42
26	0.918567	0.646465	63	8.763	keep	iter26_rf_entropy_feat8 | model=RandomForestClassifier; ccp_alpha=0.0, class_weight=balanced_subsample, criterion=entropy, max_depth=None, max_features=0.5, min_samples_leaf=2, min_samples_split=2, n_estimators=800, random_state=42
27	0.916466	0.655791	65	8.088	discard	iter27_rf_entropy_feat10_depth18 | model=RandomForestClassifier; ccp_alpha=0.0, class_weight=balanced_subsample, criterion=entropy, max_depth=18, max_features=0.5, min_samples_leaf=2, min_samples_split=2, n_estimators=700, random_state=42
28	0.918544	0.676101	62	7.290	discard	iter28_rf_entropy_feat7 | model=RandomForestClassifier; ccp_alpha=0.0, class_weight=balanced_subsample, criterion=entropy, max_depth=None, max_features=0.5, min_samples_leaf=3, min_samples_split=2, n_estimators=700, random_state=42
29	0.918117	0.641638	65	7.861	discard	iter29_rf_entropy_feat10_minsplit4 | model=RandomForestClassifier; ccp_alpha=0.0, class_weight=balanced_subsample, criterion=entropy, max_depth=None, max_features=0.5, min_samples_leaf=2, min_samples_split=4, n_estimators=650, random_state=42
30	0.915111	0.653266	65	7.369	discard	iter30_smote_rf_feat10 | model=RandomForestClassifier; ccp_alpha=0.0, class_weight=None, criterion=entropy, max_depth=None, max_features=0.5, min_samples_leaf=2, min_samples_split=2, n_estimators=500, random_state=42
31	0.916663	0.644182	63	8.756	discard	iter31_smote_rf_feat8 | model=RandomForestClassifier; ccp_alpha=0.0, class_weight=None, criterion=entropy, max_depth=None, max_features=0.5, min_samples_leaf=2, min_samples_split=2, n_estimators=550, random_state=42
32	0.917504	0.650000	65	8.968	discard	iter32_smote_rf_feat10_depth16 | model=RandomForestClassifier; ccp_alpha=0.0, class_weight=None, criterion=entropy, max_depth=16, max_features=0.5, min_samples_leaf=2, min_samples_split=2, n_estimators=550, random_state=42
33	0.918192	0.654545	64	9.753	discard	iter33_smote_rf_feat9 | model=RandomForestClassifier; ccp_alpha=0.0, class_weight=None, criterion=entropy, max_depth=None, max_features=0.5, min_samples_leaf=3, min_samples_split=2, n_estimators=600, random_state=42
34	0.915579	0.653333	65	6.853	discard	iter34_smote_rf_feat10_light | model=RandomForestClassifier; ccp_alpha=0.0, class_weight=None, criterion=entropy, max_depth=None, max_features=0.5, min_samples_leaf=2, min_samples_split=2, n_estimators=400, random_state=42
35	0.901138	0.640327	63	8.444	final_test	FINAL_LOCKED_TEST_RESULT | locked_test_set | model=RandomForestClassifier; ccp_alpha=0.0, class_weight=balanced_subsample, criterion=entropy, max_depth=None, max_features=0.5, min_samples_leaf=2, min_samples_split=2, n_estimators=800, random_state=42
